1	19	73
109	37	163
13	67	31

5	149	59
167	23	113
47	137	29

11	29	47
137	101	83
53	71	89

13	67	103
31	139	157
79	97	7

19	1	73
163	109	37
31	67	139

23	5	149
59	113	11
29	41	131

37	73	19
1	109	127
13	139	31

41	5	23
113	131	167
137	83	47

59	113	5
131	149	167
137	47	29

67	13	139
103	31	157
7	79	43

73	1	19
163	37	109
67	103	13

103	67	31
157	13	139
7	79	43

113	5	149
59	23	101
11	41	131

127	73	109
19	1	37
67	103	13

131	149	23
41	59	167
137	11	29

149	5	113
23	59	167
47	137	29

167	11	41
131	23	59
113	5	149

